"window","family","exposure","b1","se1","b3","se3","p3"
"1d","NegBin","swh_lag1",-0.888266945029773,0.345034847443464,0.205139221844209,0.47190056594658,0.663773974489289
"1d","Poisson","swh_lag1",-1.89194730627164,0.429751467384009,1.39036616910786,0.476265377909554,0.00350807435634476
"1-3d","NegBin","swh_prev3days",-1.64644532263522,0.393010873960328,1.44849864651482,0.521267858378919,0.00545602604982581
"1-3d","Poisson","swh_prev3days",-2.20149940010468,0.662543821921887,1.98133492179846,0.69908904212877,0.00459453499980656
"1-5d","NegBin","swh_prev5days",-2.03589945930595,0.598893112912459,2.54616796351568,0.710710936884582,0.000340237220396086
"1-5d","Poisson","swh_prev5days",-1.9887203238807,0.692940896804156,2.35146889711455,0.752763948353553,0.00178543954113212
"1-7d","NegBin","swh_prevweek",-1.67159487466577,0.848710135199844,2.54008067299764,0.979831333354173,0.0095318521201699
"1-7d","Poisson","swh_prevweek",-1.67043185126248,0.764830312213298,2.16733311411456,0.82985752732862,0.00900951122420766
