"period","n","median_dist_km","mean_dist_km","pct_under_100","pct_over_250"
"Mare Nostrum",51,149.960123934617,165.866209200766,35.2941176470588,25.4901960784314
"NGO SAR",234,160.659861137149,176.252061356774,40.5982905982906,21.7948717948718
"Post-MoU",1763,6.92069458131326,53.1977692132238,80.8848553601815,3.57345433919455
