"period","n","median_lat","mean_lat","pct_near_coast","pct_near_italy"
"Mare Nostrum",51,34.2775,34.1881402935721,37.2549019607843,13.7254901960784
"NGO SAR",234,34.2345,34.4676396969477,40.1709401709402,21.3675213675214
"Post-MoU",1763,33.1084938516404,33.7666032415097,58.7067498581963,7.43051616562677
