"period","months","mean_rate","median_rate","sd_rate","max_rate","pct_above_5","pct_above_10","n_above_5","n_above_10"
"Pre-MN",32,2.93369353366746,1.05569741461858,4.32125270714222,20.6953642384106,18.75,6.25,6,2
"Mare Nostrum",13,1.82933073742751,1.35977827819158,1.913428121411,6.00414078674948,7.69230769230769,0,1,0
"NGO SAR",27,2.22415265241475,1.57896878687991,2.25526436355627,8.43737529217263,11.1111111111111,0,3,0
"Post-MoU",56,2.89998659694673,1.99991195912249,3.2155085546643,16.1702127659574,17.8571428571429,5.35714285714286,10,3
