"post_half","months","mean_rate","median_rate","sd_rate","pct_above_5","mean_deaths","mean_cross"
"Early MoU (Feb 17 - Apr 19)",27,3.16558062147716,2.06236799602435,3.59013896784574,22.2222222222222,155.851851851852,6872.85185185185
"Late MoU (May 19 - Sep 21)",29,2.65270940169427,1.72117039586919,2.86529652676491,13.7931034482759,108.103448275862,6023.58620689655
