"period","n_incidents","total_dead","mean_per_incident","median_per_inc","sd_per_inc","pct_large_50","pct_large_100","max_incident"
"Mare Nostrum",51,3054,59.8823529411765,19,92.9599154601215,31.3725490196078,21.5686274509804,500
"NGO SAR",234,8020,34.2735042735043,6,80.0104739851229,14.5299145299145,8.54700854700855,550
"Post-MoU",1763,13366,8.44346178142765,2,21.0328244132807,3.91661402400505,1.13708149084018,384
