"period","months","mean_cross","mean_deaths","mean_rate","sd_rate"
"Pre-MN",32,3622.21875,130.28125,2.93369353366746,4.32125270714222
"Mare Nostrum",13,13136.0769230769,271,1.82933073742751,1.913428121411
"NGO SAR",27,14076.5185185185,297.185185185185,2.22415265241475,2.25526436355627
"Post-MoU",56,6433.05357142857,131.125,2.89998659694673,3.2155085546643
