"source","timing","window","family","exposure","n_obs","b1","se1","p1","b3","se3","p3","exposure_order"
"UNITED","past","lag 1d","NegBin","swh_lag1",3190,-1.96876222986429,0.62361988868503,0.00159406394352782,1.08309290592877,0.690965521909985,0.116996361929845,1
"UNITED","past","lag 1d","Poisson","swh_lag1",3190,-1.65004031612782,0.391520046182038,2.50391416965869e-05,0.972546651437448,0.4442584147433,0.0285862104401286,1
"UNITED","past","lag 1-3d","NegBin","swh_prev3days",3190,-2.67093584098646,0.44627801338133,2.1650329857243e-09,2.75903843482654,0.577765051979118,1.79382479824856e-06,2
"UNITED","past","lag 1-3d","Poisson","swh_prev3days",3190,-1.77922548727149,0.444144444804956,6.17657446202606e-05,1.71867038848044,0.48637114606054,0.000409847540384369,2
"UNITED","past","lag 1-5d","NegBin","swh_prev5days",3190,-2.71878915404452,0.627005132266823,1.44999119758428e-05,3.73305497827198,0.749888577035114,6.41961556184329e-07,3
"UNITED","past","lag 1-5d","Poisson","swh_prev5days",3190,-1.41746501162785,0.431839819397926,0.00102932567610344,1.99462098385773,0.514809103109834,0.00010684971177372,3
"UNITED","past","lag 1-7d","NegBin","swh_prevweek",3190,-2.28994362403567,0.933758964830085,0.0141909714819297,3.70336854267984,1.07054753008166,0.000541537231859515,4
"UNITED","past","lag 1-7d","Poisson","swh_prevweek",3190,-1.10538613671486,0.538970426837665,0.04027457386406,1.90126421760676,0.611013538259032,0.00186040865418554,4
"UNITED","future_placebo","lead 1d","NegBin","swh_next1day",3190,-1.94427992641701,0.460811929321471,2.45118257196583e-05,0.732426793063108,0.540878360792444,0.175690673236404,5
"UNITED","future_placebo","lead 1d","Poisson","swh_next1day",3190,-1.3230459491984,0.713563058345476,0.0637191052540004,0.517508192948844,0.768290252725006,0.500575686343095,5
"UNITED","future_placebo","lead 1-3d","NegBin","swh_next3days",3190,-1.027182927774,0.566855735031682,0.0699752023416183,-0.0365737334067864,0.635908365455787,0.954135629323276,6
"UNITED","future_placebo","lead 1-3d","Poisson","swh_next3days",3190,-0.581868823576564,0.52940727883121,0.271726687910766,-0.154210671545118,0.591795960781006,0.794415788980878,6
"UNITED","future_placebo","lead 1-5d","NegBin","swh_next5days",3190,-1.2842855965332,0.623325520087727,0.0393625091146798,-0.193181853063546,0.7283098892927,0.790819359738557,7
"UNITED","future_placebo","lead 1-5d","Poisson","swh_next5days",3190,-0.79416593851325,0.48153091876427,0.0990959730348999,-0.0335227622966723,0.557357093775717,0.952039407087997,7
"UNITED","future_placebo","lead 1-7d","NegBin","swh_next7days",3190,-1.36938682973543,0.871317420007178,0.116036855418889,-0.398123234004052,0.986993146981214,0.686676195795896,8
"UNITED","future_placebo","lead 1-7d","Poisson","swh_next7days",3190,-0.886842085378833,0.463227286363349,0.0555581053508837,0.00795638250037523,0.543796622219078,0.988326429389907,8
"IOM","past","lag 1d","NegBin","swh_lag1",3279,-0.888342195353978,0.345025495683149,0.010032281774162,0.207467795014903,0.470467859830355,0.659226124716976,1
"IOM","past","lag 1d","Poisson","swh_lag1",3279,-1.89194730627166,0.429767355787907,1.07129449485915e-05,1.40217055522796,0.476166415620999,0.00323260676077345,1
"IOM","past","lag 1-3d","NegBin","swh_prev3days",3279,-1.64638420478049,0.392994993958896,2.79784034412464e-05,1.4817740351752,0.520116615029728,0.0043867006029561,2
"IOM","past","lag 1-3d","Poisson","swh_prev3days",3279,-2.20149940010467,0.662568316925717,0.000891586212547637,2.01018997660944,0.698183450614766,0.0039872129136551,2
"IOM","past","lag 1-5d","NegBin","swh_prev5days",3279,-2.03574663303431,0.598867410904655,0.000675517043320155,2.58091461971193,0.709139601628225,0.000273166382564141,3
"IOM","past","lag 1-5d","Poisson","swh_prev5days",3279,-1.9887203238807,0.692966515622661,0.00410647128948414,2.38146450179834,0.751969672787623,0.00154036837147257,3
"IOM","past","lag 1-7d","NegBin","swh_prevweek",3279,-1.67134266641613,0.848692627692871,0.0489169913584477,2.56186571714788,0.978514842108765,0.00884166494535727,4
"IOM","past","lag 1-7d","Poisson","swh_prevweek",3279,-1.67043185126248,0.764858588865815,0.0289641029607024,2.19834224289551,0.829692650277004,0.00805903972919506,4
"IOM","future_placebo","lead 1d","NegBin","swh_next1day",3279,-2.37746745523112,0.501953562269858,2.17516797101907e-06,1.71720797343721,0.560104880706477,0.00217038664793669,5
"IOM","future_placebo","lead 1d","Poisson","swh_next1day",3279,-0.872100652369734,0.715994858409543,0.223213933931249,0.265553937009988,0.746062262448148,0.721884961875617,5
"IOM","future_placebo","lead 1-3d","NegBin","swh_next3days",3279,-1.60516405216774,0.456929031341991,0.000443178342891227,0.709609306431197,0.534758956836573,0.184518474658762,6
"IOM","future_placebo","lead 1-3d","Poisson","swh_next3days",3279,-0.576696421887576,0.409262934826457,0.158802696530717,-0.0374762787588963,0.452311189464952,0.933966773947082,6
"IOM","future_placebo","lead 1-5d","NegBin","swh_next5days",3279,-1.33625273790957,0.586162261486683,0.0226276511062072,0.122506791212601,0.693513022223804,0.859785904545554,7
"IOM","future_placebo","lead 1-5d","Poisson","swh_next5days",3279,-0.806324999499742,0.387335171075895,0.0373676687737223,0.171026090559684,0.476206981467859,0.719488607419061,7
"IOM","future_placebo","lead 1-7d","NegBin","swh_next7days",3279,-0.686120406077486,0.724566277629269,0.343669624440925,-0.219344287643891,0.861641797037993,0.799058697016297,8
"IOM","future_placebo","lead 1-7d","Poisson","swh_next7days",3279,-0.750228323879102,0.451279619618158,0.0964232376920347,0.0300804878809282,0.545222705912191,0.956002223654908,8
