spec,coef,beta,se,p,irr,n
Dead/missing lag-1 | grid+yr+mo,swh_lag1:post_mou,0.559111157941577,0.414175663572773,0.177036110563762,1.7491171202933,923
Dead/missing lag-1 | yr+mo,swh_lag1:post_mou,0.553197834413424,0.431287758286217,0.199609367907885,1.73880454571761,927
Dead/missing lag-2 | grid+yr+mo,swh_lag2:post_mou,0.879346084464842,0.348865555835348,0.0117159176892138,2.40932369699016,923
Dead/missing day-0 | grid+yr+mo,swh_day0:post_mou,-0.0720455877098031,0.262999854502551,0.784132462486017,0.930488476005683,923
Fatality rate OLS lag-1 | grid+yr+mo,swh_lag1:post_mou,0.0496488559816082,0.160610188541896,0.757415809841046,1.05090201362322,378
Fatality rate OLS lag-1 | yr+mo,swh_lag1:post_mou,0.0364307866843482,0.153848033764785,0.81294954403807,1.03710252022949,383
Fatality rate frac.logit | yr+mo,swh_lag1:post_mou,0.160040789265986,0.709009203249956,0.821544462355142,1.1735587386151,383
Fatality rate OLS lag-2 | grid+yr+mo,swh_lag2:post_mou,0.192687126534649,0.122110888324141,0.115508265478572,1.21250337403469,378
