Type,Region of Incident,Region of Origin,Migration Route,Source Quality,Cause of death (category),UNSD Regions,Country Names,Country,Region
,,,,,,,French Southern Territories,Saint Vincent and the Grenadines,Caribbean
,,,,,,,Gabon,Sint Maarten (Dutch part),Caribbean
,,,,,,,Gambia,Trinidad and Tobago,Caribbean
,,,,,,,Georgia,Turks and Caicos Islands,Caribbean
,,,,,,,Germany,United States Virgin Islands,Caribbean
,,,,,,,Ghana,Belize,Central America
,,,,,,,Gibraltar,Costa Rica,Central America
,,,,,,,Greece,El Salvador,Central America
,,,,,,,Greenland,Guatemala,Central America
,,,,,,,Grenada,Honduras,Central America
,,,,,,,Guadeloupe,Mexico,Central America
,,,,,,,Guam,Nicaragua,Central America
,,,,,,,Guatemala,Panama,Central America
,,,,,,,Guernsey,Argentina,South America
,,,,,,,Guinea,Bolivia (Plurinational State of),South America
,,,,,,,Guinea-Bissau,Bouvet Island,South America
,,,,,,,Guyana,Brazil,South America
,,,,,,,Haiti,Chile,South America
,,,,,,,Heard Island and McDonald Islands,Colombia,South America
,,,,,,,Holy See,Ecuador,South America
,,,,,,,Honduras,Falkland Islands (Malvinas),South America
,,,,,,,Hungary,French Guiana,South America
,,,,,,,Iceland,Guyana,South America
,,,,,,,India,Paraguay,South America
,,,,,,,Indonesia,Peru,South America
,,,,,,,Iran (Islamic Republic of),South Georgia and the South Sandwich Islands,South America
,,,,,,,Iraq,Suriname,South America
,,,,,,,Ireland,Uruguay,South America
,,,,,,,Isle of Man,Venezuela (Bolivarian Republic of),South America
,,,,,,,Israel,Bermuda,Northern America
,,,,,,,Italy,Canada,Northern America
,,,,,,,Jamaica,Greenland,Northern America
,,,,,,,Japan,Saint Pierre and Miquelon,Northern America
,,,,,,,Jersey,United States of America,Northern America
,,,,,,,Jordan,Antarctica,Northern America
,,,,,,,Kazakhstan,Kazakhstan,Central Asia
,,,,,,,Kenya,Kyrgyzstan,Central Asia
,,,,,,,Kiribati,Tajikistan,Central Asia
,,,,,,,Kuwait,Turkmenistan,Central Asia
,,,,,,,Kyrgyzstan,Uzbekistan,Central Asia
,,,,,,,Lao People's Democratic Republic,China,Eastern Asia
,,,,,,,Latvia,"China, Hong Kong Special Administrative Region",Eastern Asia
,,,,,,,Lebanon,"China, Macao Special Administrative Region",Eastern Asia
,,,,,,,Lesotho,Democratic People's Republic of Korea,Eastern Asia
,,,,,,,Liberia,Japan,Eastern Asia
,,,,,,,Libya,Mongolia,Eastern Asia
,,,,,,,Liechtenstein,Republic of Korea,Eastern Asia
,,,,,,,Lithuania,Brunei Darussalam,South-eastern Asia
,,,,,,,Luxembourg,Cambodia,South-eastern Asia
,,,,,,,Madagascar,Indonesia,South-eastern Asia
,,,,,,,Malawi,Lao People's Democratic Republic,South-eastern Asia
,,,,,,,Malaysia,Malaysia,South-eastern Asia
,,,,,,,Maldives,Myanmar,South-eastern Asia
,,,,,,,Mali,Philippines,South-eastern Asia
,,,,,,,Malta,Singapore,South-eastern Asia
,,,,,,,Marshall Islands,Thailand,South-eastern Asia
,,,,,,,Martinique,Timor-Leste,South-eastern Asia
,,,,,,,Mauritania,Viet Nam,South-eastern Asia
,,,,,,,Mauritius,Afghanistan,Southern Asia
,,,,,,,Mayotte,Bangladesh,Southern Asia
,,,,,,,Mexico,Bhutan,Southern Asia
,,,,,,,Micronesia (Federated States of),India,Southern Asia
,,,,,,,Monaco,Iran (Islamic Republic of),Southern Asia
,,,,,,,Mongolia,Maldives,Southern Asia
,,,,,,,Montenegro,Nepal,Southern Asia
,,,,,,,Montserrat,Pakistan,Southern Asia
,,,,,,,Morocco,Sri Lanka,Southern Asia
,,,,,,,Mozambique,Armenia,Western Asia
,,,,,,,Myanmar,Azerbaijan,Western Asia
,,,,,,,Namibia,Bahrain,Western Asia
,,,,,,,Nauru,Cyprus,Western Asia
,,,,,,,Nepal,Georgia,Western Asia
,,,,,,,Netherlands,Iraq,Western Asia
,,,,,,,New Caledonia,Israel,Western Asia
,,,,,,,New Zealand,Jordan,Western Asia
,,,,,,,Nicaragua,Kuwait,Western Asia
,,,,,,,Niger,Lebanon,Western Asia
,,,,,,,Nigeria,Oman,Western Asia
,,,,,,,Niue,Qatar,Western Asia
,,,,,,,Norfolk Island,Saudi Arabia,Western Asia
,,,,,,,North Macedonia,State of Palestine,Western Asia
,,,,,,,Northern Mariana Islands,Syrian Arab Republic,Western Asia
,,,,,,,Norway,Türkiye,Western Asia
,,,,,,,Oman,United Arab Emirates,Western Asia
,,,,,,,Pakistan,Yemen,Western Asia
,,,,,,,Palau,Belarus,Europe
,,,,,,,Panama,Bulgaria,Europe
,,,,,,,Papua New Guinea,Czechia,Europe
,,,,,,,Paraguay,Hungary,Europe
,,,,,,,Peru,Poland,Europe
,,,,,,,Philippines,Republic of Moldova,Europe
,,,,,,,Pitcairn,Romania,Europe
,,,,,,,Poland,Russian Federation,Europe
,,,,,,,Portugal,Slovakia,Europe
,,,,,,,Puerto Rico,Ukraine,Europe
,,,,,,,Qatar,Åland Islands,Europe
,,,,,,,Republic of Korea,Denmark,Europe
,,,,,,,Republic of Moldova,Estonia,Europe
,,,,,,,Réunion,Faroe Islands,Europe
,,,,,,,Romania,Finland,Europe
,,,,,,,Russian Federation,Guernsey,Europe
,,,,,,,Rwanda,Iceland,Europe
,,,,,,,Saint Barthélemy,Ireland,Europe
,,,,,,,Saint Helena,Isle of Man,Europe
,,,,,,,Saint Kitts and Nevis,Jersey,Europe
,,,,,,,Saint Lucia,Latvia,Europe
,,,,,,,Saint Martin (French Part),Lithuania,Europe
,,,,,,,Saint Pierre and Miquelon,Norway,Europe
,,,,,,,Saint Vincent and the Grenadines,Svalbard and Jan Mayen Islands,Europe
,,,,,,,Samoa,Sweden,Europe
,,,,,,,San Marino,United Kingdom of Great Britain and Northern Ireland,Europe
,,,,,,,Sao Tome and Principe,Albania,Europe
,,,,,,,Sark,Andorra,Europe
,,,,,,,Saudi Arabia,Bosnia and Herzegovina,Europe
,,,,,,,Senegal,Croatia,Europe
,,,,,,,Serbia,Gibraltar,Europe
,,,,,,,Seychelles,Greece,Europe
,,,,,,,Sierra Leone,Holy See,Europe
,,,,,,,Singapore,Italy,Europe
,,,,,,,Sint Maarten (Dutch part),Malta,Europe
,,,,,,,Slovakia,Montenegro,Europe
,,,,,,,Slovenia,North Macedonia,Europe
,,,,,,,Solomon Islands,Portugal,Europe
,,,,,,,Somalia,San Marino,Europe
,,,,,,,South Africa,Serbia,Europe
,,,,,,,South Georgia and the South Sandwich Islands,Slovenia,Europe
,,,,,,,South Sudan,Spain,Europe
,,,,,,,Spain,Austria,Europe
,,,,,,,Sri Lanka,Belgium,Europe
,,,,,,,State of Palestine,France,Europe
,,,,,,,Sudan,Germany,Europe
,,,,,,,Suriname,Liechtenstein,Europe
,,,,,,,Svalbard and Jan Mayen Islands,Luxembourg,Europe
,,,,,,,Sweden,Monaco,Europe
,,,,,,,Switzerland,Netherlands (Kingdom of the),Europe
,,,,,,,Syrian Arab Republic,Switzerland,Europe
,,,,,,,Tajikistan,,
,,,,,,,Thailand,,
,,,,,,,Timor-Leste,,
,,,,,,,Togo,,
,,,,,,,Tokelau,,
,,,,,,,Tonga,,
,,,,,,,Trinidad and Tobago,,
,,,,,,,Tunisia,,
,,,,,,,Türkiye,,
,,,,,,,Turkmenistan,,
,,,,,,,Turks and Caicos Islands,,
,,,,,,,Tuvalu,,
,,,,,,,Uganda,,
,,,,,,,Ukraine,,
,,,,,,,United Arab Emirates,,
,,,,,,,United Kingdom of Great Britain and Northern Ireland,,
,,,,,,,United Republic of Tanzania,,
,,,,,,,United States Minor Outlying Islands,,
,,,,,,,United States of America,,
,,,,,,,United States Virgin Islands,,
,,,,,,,Uruguay,,
,,,,,,,Uzbekistan,,
,,,,,,,Vanuatu,,
,,,,,,,Venezuela (Bolivarian Republic of),,
,,,,,,,Viet Nam,,
,,,,,,,Wallis and Futuna Islands,,
,,,,,,,Western Sahara,,
,,,,,,,Yemen,,
,,,,,,,Zambia,,
,,,,,,,Zimbabwe,,
,,,,,,,Unknown,,
,,,,,,,Mixed,,
,,,,,,,Mixed/Unknown,,
