model,wt_rmse,total_months,vs_m0a
A1-exog-only,1.9872841717803837,31,12.763467463454012
A1-full,1.9713944687938096,31,13.460983506337037
A1-month-only,1.9870255711504103,31,12.774819348901998
M0a (seasonal mean),2.2780412219477557,31,0
M0c (state-only),1.9386883717050358,31,14.896694887398423
