period,n,median_lat,mean_lat,pct_near_coast,pct_near_italy
Mare Nostrum,51,34.2775,34.18814029357212,37.254901960784316,13.725490196078432
NGO SAR,234,34.2345,34.467639696947664,40.17094017094017,21.367521367521366
Post-MoU,669,33.14510556,33.74423479897015,59.342301943198805,6.576980568011958
