model,n_placebo_tests,n_placebo_significant,false_positive_rate,actual_p_value,placebos_p_le_actual,share_placebos_p_le_actual,placebo_p_min,placebo_p_median,placebo_p_max
A_mortality,7,7,1,0.08807450900992103,7,1,1e-4,1.004217714400482e-4,0.003208985158443642
B_mortality,9,6,0.6666666666666666,0.0046,5,0.5555555555555556,1e-4,0.0038030424339471577,0.3279710436356324
C_mortality,18,8,0.4444444444444444,0.007920593543212352,3,0.16666666666666666,1e-4,0.05180925218964655,0.40868954445113387
A_deaths,7,7,1,3.013258336681398e-4,2,0.2857142857142857,1.0004001600640257e-4,0.0017881560955085726,0.007305113579505654
B_deaths,9,5,0.5555555555555556,9.001800360072014e-4,1,0.1111111111111111,8.003201280512205e-4,0.04875601926163724,0.49617151607963245
C_deaths,18,16,0.8888888888888888,0.1965,17,0.9444444444444444,1e-4,0.0014518741230707555,0.47862796833773086
