label,treatment,p_value,rel_effect,abs_effect,abs_lower,abs_upper,n_pre,n_post,rmse_sd,n_inc_01,n_inc_10,log_cross_inc,elapsed_min
A_deaths,Mare Nostrum,0.37543754375437544,0.03999458650294001,12.487093296038893,-63.946410171067605,91.85462114482839,32,96,0.7265667029223515,8,1,0.9927,0.052586849530537924
B_deaths,NGO SAR,0.08303321328531413,0.11707199743178966,36.895441435765804,-16.31851523770923,89.88975734466221,45,83,0.7350586678222357,1,1,1,0.048646565278371176
C_deaths,EU-Libya MoU,0.021037868162692847,0.1644470003909067,32.87208143893659,1.2917050671711567,64.41167267004957,72,56,0.7311151630168691,1,1,1,0.049744582176208495
