label,treatment,outcome_type,abs_effect,abs_effect_lower,abs_effect_upper,rel_effect,p_value,n_pre,n_post,rmse_pre,sd_pre,rmse_sd_pre,burn_used_draws,n_inc_01,n_inc_10,elapsed_minutes
A_mortality,Mare Nostrum,mortality_rate,53.02426726551755,-22.35837797492554,133.133739190268,-0.12698102834832667,0.08807450900992103,32,96,1.8521357561343819,2.464812937578573,0.751430556005567,123,25,5,0.04942063093185425
B_mortality,NGO SAR,mortality_rate,81.66183699049333,21.031132845276442,140.3617199750824,-2.8573645554143514,0.0046,45,83,2.2039360881021715,2.3899082572035852,0.9221843899066575,1,17,1,0.04786558151245117
C_mortality,EU-Libya MoU,mortality_rate,45.298424860293615,9.055451870367943,82.26414359259434,-1.5535268254695707,0.007920593543212352,72,56,2.0466763433645783,2.095057958818113,0.9769067890222816,27,3,0,0.05043104887008667
A_deaths,Mare Nostrum,death_count,109.69734972709034,45.03720650176643,178.5749001760404,0.3623755410486333,3.013258336681398e-4,32,96,1.5812391643610317,2.182129765459399,0.7246311330289456,45,24,6,0.048277866840362546
B_deaths,NGO SAR,death_count,96.05130492731871,39.37312998327115,152.83139531736992,0.36196550863924576,9.001800360072014e-4,45,83,2.02510914052741,2.31738968942959,0.8738750973841941,3,21,2,0.048370647430419925
C_deaths,EU-Libya MoU,death_count,16.614413911217042,-21.44189577112244,55.11921967895083,0.08256621719677483,0.1965,72,56,2.024737588803293,2.1902315536051744,0.9244399686738717,1,10,3,0.049680082003275554
