"source","family","swh_series","n_obs","b_pre","se_pre","p_pre","b_shift","se_shift","p_shift","b_post","se_post","p_post"
"UNITED","NegBin","Polygon mean",3197,-2.82877129920674,0.723277177854071,9.18967473367741e-05,3.62871066763603,0.819721445008276,9.56587583711331e-06,0.799939368429288,0.387764735428668,0.0391173525745502
"UNITED","Poisson","Polygon mean",3197,-1.38318226226663,0.483991421715444,0.0042650147514948,1.63160515124303,0.555316626676544,0.00330174154470268,0.248422888976404,0.274584078684374,0.365611463086851
"UNITED","NegBin","Incident-count weighted",3197,-3.14884106386819,0.891580986159167,0.000412819583520305,3.70758363198776,0.972252285531916,0.000137069846077656,0.55874256811957,0.389352074165734,0.15127074673338
"UNITED","Poisson","Incident-count weighted",3197,-1.45459493492086,0.525139479704583,0.00560698699845116,1.58567929046865,0.587564987929591,0.00696046111776703,0.131084355547795,0.266772686416972,0.62316408771648
"UNITED","NegBin","Death-count weighted",3197,-3.1089816594746,0.82312234528375,0.000158691151770832,3.65949306928272,0.902354720619339,5.00287143844372e-05,0.550511409808128,0.371809506089024,0.138705841357347
"UNITED","Poisson","Death-count weighted",3197,-1.44930173312308,0.492770630609855,0.00327018869938782,1.58632285732129,0.554353878112636,0.00421547370562423,0.137021124198213,0.256706955477691,0.593504303964321
"IOM","NegBin","Polygon mean",3286,-2.10795567968976,0.693608991888343,0.00237276318786858,2.47799460116056,0.784760920279071,0.00159050363327512,0.370038921470807,0.368136977123263,0.314816729418178
"IOM","Poisson","Polygon mean",3286,-2.0282136790524,0.789590742213902,0.010208379448008,2.05329494979647,0.840200650385987,0.0145328767280278,0.025081270744066,0.291678924042558,0.931474911525004
"IOM","NegBin","Incident-count weighted",3286,-2.89989442424479,0.830387019379243,0.000479022950256911,3.2415802111924,0.908298562627574,0.000358553304151626,0.341685786947617,0.369731544015772,0.355410504048341
"IOM","Poisson","Incident-count weighted",3286,-2.46994466842177,0.889790768767836,0.00550539946824297,2.44939023734756,0.939284829226337,0.00911479308710372,-0.0205544310742085,0.306040104604276,0.946452305710235
"IOM","NegBin","Death-count weighted",3286,-2.6242009034845,0.767790208757717,0.000631151222339823,2.93493051068588,0.845218371949984,0.00051584024871061,0.310729607201374,0.354829170105661,0.381184405648348
"IOM","Poisson","Death-count weighted",3286,-2.29153983022759,0.82629906301014,0.00554982368448238,2.26774581412902,0.87456532143484,0.00951434235845509,-0.0237940160985741,0.291270284396836,0.934892830470022
